symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,normalized-losses_norm,wheel-base_norm,length_norm,width_norm,height_norm,curb-weight_norm,bore_norm,stroke_norm,compression-ratio_norm,horsepower_norm,peak-rpm_norm,city-mpg_norm,highway-mpg_norm,price_norm,highway-mpg-binned,Dual_Overhead,L_Engine,Overhead,Rotary
3,115,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,53.55699482,2548,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495,-0.041206508,-2.037927261,-0.429911144,-0.939256598,1.04E-14,0.107877724,0.550466444,-2.32679411,0.213923913,0.363949325,-0.318519747,-0.65383761,-0.584124035,0.425017517,2,1,0,0,0
3,115,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,53.55699482,2548,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500,-0.041206508,-2.037927261,-0.429911144,-0.939256598,1.04E-14,0.107877724,0.550466444,-2.32679411,0.213923913,0.363949325,-0.318519747,-0.65383761,-0.584124035,1.058184635,2,1,0,0,0
1,115,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,six,152,mpfi,3.330447761,3.47,9,154,5000,19,26,16500,-0.041206508,-0.766511651,-0.192063797,-0.031729337,-0.561791657,0.743655606,3.50E-15,0.851125975,0.213923913,1.732961197,-0.318519747,-0.989479788,-0.760173782,1.058184635,2,0,0,1,0
2,164,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,1.937122118,0.375607457,0.343092733,0.422034294,0.3607744,-0.379937306,-0.553998849,0.569538119,1.743132717,0.077411957,0.853727649,-0.150374342,-0.055974792,0.520888079,2,0,0,1,0
2,164,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,1.937122118,0.289409789,0.343092733,0.551681046,0.3607744,0.745967526,-0.553998849,0.569538119,-1.315284891,0.491299267,0.853727649,-1.157300877,-1.464372773,1.25835394,1,0,0,1,0
2,115,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,-0.041206508,0.375607457,0.412464876,0.48685767,-0.221898899,0.013089022,-0.553998849,0.569538119,-0.550680489,0.33211184,0.853727649,-0.989479788,-0.93622353,0.79480397,2,0,0,1,0
1,158,audi,gas,std,four,sedan,fwd,front,105.8,192.7,65.54894737,55.7,2844,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,1.694877796,1.668572484,1.938652017,0,1.040559916,0.792205917,-0.553998849,0.569538119,-0.550680489,0.33211184,0.853727649,-0.989479788,-0.93622353,1.313137119,2,0,0,1,0
1,115,audi,gas,std,four,wagon,fwd,front,105.8,192.7,65.54894737,55.7,2954,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,-0.041206508,1.668572484,1.938652017,0,1.040559916,1.04651707,-0.553998849,0.569538119,-0.550680489,0.33211184,0.853727649,-0.989479788,-0.93622353,1.568089602,2,0,0,1,0
1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,65.54894737,55.9,3086,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,1.694877796,1.668572484,1.938652017,0,1.137672133,1.351690453,-0.790669984,0.569538119,-0.85652225,1.287236401,0.853727649,-1.325121966,-1.816472268,2.612130558,1,0,0,1,0
0,115,audi,gas,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,52,3053,five,131,mpfi,3.13,3.4,7,160,5500,16,22,10295,-0.041206508,0.310959206,0.501657631,1.524031683,-0.75601609,1.275397108,-0.790669984,0.569538119,-2.844493696,1.923986109,0.853727649,-1.492943055,-1.464372773,-0.249236985,1,0,0,1,0
