Column,Min,Max,Mean,SD,Correl,Median,Mode,Missing
population,0,1,0.06,0.13,0.37,0.02,0.01,0
householdsize,0,1,0.46,0.16,-0.03,0.44,0.41,0
racepctblack,0,1,0.18,0.25,0.63,0.06,0.01,0
racePctWhite,0,1,0.75,0.24,-0.68,0.85,0.98,0
racePctAsian,0,1,0.15,0.21,0.04,0.07,0.02,0
racePctHisp,0,1,0.14,0.23,0.29,0.04,0.01,0
agePct12t21,0,1,0.42,0.16,0.06,0.4,0.38,0
agePct12t29,0,1,0.49,0.14,0.15,0.48,0.49,0
agePct16t24,0,1,0.34,0.17,0.1,0.29,0.29,0
agePct65up,0,1,0.42,0.18,0.07,0.42,0.47,0
numbUrban,0,1,0.06,0.13,0.36,0.03,0,0
pctUrban,0,1,0.7,0.44,0.08,1,1,0
medIncome,0,1,0.36,0.21,-0.42,0.32,0.23,0
pctWWage,0,1,0.56,0.18,-0.31,0.56,0.58,0
pctWFarmSelf,0,1,0.29,0.2,-0.15,0.23,0.16,0
pctWInvInc,0,1,0.5,0.18,-0.58,0.48,0.41,0
pctWSocSec,0,1,0.47,0.17,0.12,0.475,0.56,0
pctWPubAsst,0,1,0.32,0.22,0.57,0.26,0.1,0
pctWRetire,0,1,0.48,0.17,-0.1,0.47,0.44,0
medFamInc,0,1,0.38,0.2,-0.44,0.33,0.25,0
perCapInc,0,1,0.35,0.19,-0.35,0.3,0.23,0
whitePerCap,0,1,0.37,0.19,-0.21,0.32,0.3,0
blackPerCap,0,1,0.29,0.17,-0.28,0.25,0.18,0
indianPerCap,0,1,0.2,0.16,-0.09,0.17,0,0
AsianPerCap,0,1,0.32,0.2,-0.16,0.28,0.18,0
OtherPerCap,0,1,0.28,0.19,-0.13,0.25,0,1
HispPerCap,0,1,0.39,0.18,-0.24,0.345,0.3,0
NumUnderPov,0,1,0.06,0.13,0.45,0.02,0.01,0
PctPopUnderPov,0,1,0.3,0.23,0.52,0.25,0.08,0
PctLess9thGrade,0,1,0.32,0.21,0.41,0.27,0.19,0
